#{"t_start": 1743685495.1561525, "env_id": "LanguageLearningEnv-v0"}
r,l,t
583.0,51,50.436211
633.0,42,50.481331
550.0,41,50.527437
534.0,41,50.580073
615.0,41,50.627162
636.0,41,50.681741
592.0,41,50.730363
566.0,41,50.782499
621.0,41,50.831114
658.0,41,50.877494
580.0,45,50.927714
666.0,41,50.993284
630.0,41,51.048859
654.0,41,51.095891
662.0,41,51.144706
619.0,42,51.193983
660.0,51,51.253803
568.0,41,51.30998
612.0,41,51.364812
599.0,41,51.409988
632.0,41,51.457762
634.0,41,51.509699
607.0,41,51.55528
653.0,42,51.600847
629.0,41,51.64641
589.0,41,51.688478
642.0,42,51.741588
610.0,41,51.791687
628.0,42,51.837761
566.0,41,51.882852
607.0,42,51.925921
641.0,41,51.968483
667.0,52,52.026587
632.0,42,52.07668
678.0,51,52.130769
646.0,41,52.173346
550.0,41,52.220586
641.0,41,52.265173
572.0,41,52.316757
592.0,41,52.366848
714.0,51,52.425955
630.0,41,52.473046
595.0,41,52.520653
667.0,41,52.564295
558.0,41,52.608401
648.0,41,52.651557
68.0,11,52.667093
659.0,41,52.709679
596.0,41,52.756288
654.0,51,52.812387
627.0,41,52.857977
620.0,41,52.902561
664.0,41,52.958667
588.0,41,53.007241
591.0,41,53.05432
653.0,43,53.104954
689.0,51,53.166631
595.0,41,53.221607
614.0,41,53.274311
617.0,41,53.328511
590.0,41,53.386132
573.0,41,53.4317
588.0,41,53.59953
651.0,41,53.653768
486.0,43,53.699732
544.0,41,53.743567
623.0,41,53.798448
731.0,51,53.852072
656.0,45,53.90065
572.0,41,53.944722
623.0,41,53.991799
649.0,43,54.040379
661.0,65,54.112529
648.0,41,54.155105
685.0,51,54.215192
585.0,42,54.265304
618.0,47,54.318882
109.0,14,54.334914
648.0,41,54.383011
566.0,44,54.428066
649.0,41,54.474145
744.0,51,54.53223
535.0,41,54.582323
515.0,41,54.635936
603.0,41,54.696618
592.0,41,54.740207
588.0,41,55.049998
635.0,41,55.134227
592.0,41,55.193859
568.0,41,55.246453
648.0,41,55.296538
648.0,41,55.349637
630.0,41,55.42082
642.0,41,55.484693
667.0,41,55.536036
566.0,41,55.598675
587.0,42,55.651293
600.0,41,55.705897
595.0,43,55.753028
506.0,42,55.803656
662.0,41,55.854819
616.0,41,55.899889
762.0,51,55.954988
683.0,41,56.003558
643.0,51,56.062643
705.0,41,56.108712
667.0,41,56.157283
648.0,41,56.203874
754.0,51,56.257458
637.0,42,56.304037
587.0,41,56.355136
577.0,41,56.406739
782.0,51,56.465842
699.0,51,56.52598
569.0,42,56.579626
625.0,41,56.630252
614.0,41,56.673873
61.0,11,56.686398
618.0,42,56.742527
648.0,41,56.796157
610.0,41,56.861848
637.0,44,56.913476
667.0,41,56.9608
61.0,11,56.974856
621.0,41,57.027507
719.0,51,57.089649
604.0,41,57.135404
638.0,41,57.188707
694.0,51,57.239983
677.0,51,57.303407
610.0,41,57.353363
714.0,51,57.413741
667.0,41,57.459587
614.0,41,57.517454
629.0,41,57.564022
565.0,42,57.623164
672.0,43,57.685174
511.0,43,57.73952
709.0,51,57.797673
655.0,41,57.848288
652.0,41,57.895411
653.0,42,57.938465
624.0,41,57.981557
631.0,41,58.02565
112.0,13,58.038167
141.0,16,58.055711
633.0,41,58.101297
694.0,41,58.145373
643.0,41,58.18895
588.0,42,58.235534
607.0,41,58.280621
576.0,41,58.328691
616.0,41,58.374783
665.0,42,58.426356
620.0,41,58.470421
697.0,51,58.53153
596.0,41,58.576088
644.0,41,58.618147
709.0,51,58.67976
580.0,41,58.722353
618.0,41,58.777428
594.0,41,58.821005
642.0,41,58.990749
600.0,42,59.031792
735.0,51,59.091387
550.0,42,59.143167
610.0,41,59.189744
551.0,41,59.237316
583.0,41,59.285389
582.0,42,59.341475
616.0,41,59.384035
725.0,54,59.442115
634.0,41,59.48668
594.0,41,59.539758
547.0,41,59.594547
649.0,41,59.636619
619.0,43,59.689751
577.0,41,59.73834
612.0,51,59.79894
644.0,41,59.857764
654.0,41,59.910962
613.0,41,59.959671
523.0,41,60.007773
740.0,51,60.066392
683.0,51,60.122501
652.0,41,60.166071
595.0,41,60.238763
651.0,41,60.307986
633.0,42,60.386335
648.0,41,60.461991
573.0,41,60.523141
612.0,41,60.579752
565.0,41,60.630329
594.0,41,60.677927
687.0,51,60.738018
595.0,41,60.788099
538.0,41,60.8462
572.0,41,60.894302
670.0,41,60.944923
564.0,41,60.993062
636.0,41,61.036118
618.0,41,61.087203
660.0,42,61.130782
623.0,42,61.181915
648.0,41,61.236532
611.0,41,61.286625
579.0,41,61.554612
126.0,14,61.577177
626.0,41,61.624816
543.0,41,61.680476
589.0,41,61.743632
608.0,41,61.786702
571.0,41,61.828774
684.0,41,61.875403
643.0,41,61.92704
544.0,43,61.973213
235.0,22,62.004774
610.0,41,62.06443
586.0,42,62.114725
603.0,42,62.165925
792.0,52,62.234321
622.0,41,62.30203
623.0,42,62.357664
602.0,41,62.407762
666.0,51,62.469682
628.0,41,62.513662
625.0,43,62.559893
648.0,41,62.603416
578.0,41,62.643927
597.0,51,62.699813
617.0,41,62.745789
634.0,41,62.796148
582.0,42,62.840721
588.0,41,62.888321
652.0,41,62.941431
624.0,51,63.000038
668.0,41,63.049656
590.0,42,63.098289
604.0,41,63.149895
751.0,51,63.21156
629.0,42,63.25663
670.0,41,63.298696
658.0,51,63.371877
671.0,41,63.418955
613.0,41,63.462096
581.0,41,63.504204
607.0,41,63.555834
651.0,41,63.60546
675.0,42,63.657073
615.0,41,63.707164
723.0,51,63.765768
580.0,41,63.818354
553.0,42,63.862445
647.0,41,63.912055
613.0,41,63.958172
629.0,41,64.006282
590.0,45,64.059566
633.0,41,64.110711
587.0,43,64.157773
608.0,41,64.201339
594.0,41,64.264614
613.0,41,64.321975
703.0,51,64.630478
492.0,41,64.674098
516.0,41,64.716166
606.0,41,64.764303
636.0,41,64.810897
562.0,41,64.867983
701.0,51,64.928182
665.0,51,64.982786
670.0,41,65.027852
655.0,41,65.076932
624.0,42,65.125513
689.0,41,65.180163
631.0,44,65.233794
666.0,52,65.302101
597.0,41,65.363175
575.0,41,65.414273
617.0,41,65.48649
657.0,41,65.556178
741.0,54,65.661472
527.0,41,65.775347
726.0,51,65.843041
670.0,51,65.908714
583.0,42,65.961852
651.0,41,66.028449
613.0,41,66.082076
626.0,43,66.130706
589.0,41,66.175333
734.0,52,66.236488
641.0,41,66.280622
650.0,41,66.333267
609.0,41,66.391909
624.0,41,66.4405
671.0,41,66.499942
652.0,41,66.558334
575.0,41,66.614474
668.0,44,66.670083
632.0,41,66.720675
648.0,42,66.76475
574.0,41,66.809834
591.0,42,66.855911
